VehicleSpeed[km/h],EngineFuelRate[L/h]
0.154000005,1.600000024
0.126999995,1.600000024
0.08499999999999999,1.649999976
0.155999994,1.700000048
0.091999999,1.799999952
0.045,1.75
0.07200000299999999,3.150000095
1.082999966,8.25
3.055000088,17.89999962
5.446999809,17.35000038
6.673000118,0.0
7.007000229,24.79999924
10.22099998,33.84999847
12.24899986,3.25
11.51200034,6.849999905
12.47499969,36.0
16.1030009,34.95000076
18.43499973,20.85000038
19.37299945,0.899999976
18.12899997,6.199999809
18.3209994,0.0
17.41099956,0.0
15.71099975,0.0
13.94699981,3.900000095
10.99399974,0.0
9.722000380999999,7.849999905
10.2459996,9.699999809
10.50799968,12.0
11.63599994,14.35000038
12.460000299999999,13.69999981
13.73800018,13.19999981
14.02699973,13.19999981
13.78500011,13.44999981
14.86100032,12.94999981
14.73400047,2.22e-16
14.27999999,9.600000381
15.29900005,13.60000038
16.05800082,8.399999619
14.78599956,0.0
14.03699996,0.0
13.05900027,0.0
10.68699958,0.0
9.984999916,1.0
9.330999634,6.199999809
10.60699966,7.949999809
11.39100005,7.25
11.92500045,4.25
11.70300033,4.599999905
11.25700023,1.899999976
10.16199996,5.650000095
11.67299964,9.300000191
12.30200031,13.94999981
14.85600021,15.10000038
15.80200031,22.0
16.70699908,24.39999962
18.70500018,24.85000038
19.85599925,26.20000076
20.76300075,26.85000038
21.25600078,0.0
20.45599963,4.800000191
21.32399966,30.39999962
23.05999973,32.20000076
25.32699992,32.90000153
27.54299953,32.79999924
28.80600002,20.0
29.72699954,19.10000038
30.3909991,18.70000076
30.98300006,14.80000019
30.9440005,0.0
31.02199962,21.14999962
32.35700061,26.89999962
33.53600146,27.35000038
34.79199817,29.79999924
35.73000171,30.10000038
36.92000034,30.60000038
38.60600116,30.5
39.1540015,29.89999962
40.13199832,3.5
40.31600024,23.5
41.08299854,29.10000038
42.39399936,31.25
43.00200107,28.20000076
43.71900012,13.5
43.80900027,4.800000191
43.92000034,16.89999962
43.67600085,9.449999809
43.38400104,3.950000048
43.53899982,15.30000019
43.82100131,12.75
43.81300189,12.14999962
44.28999927,11.69999981
44.31199863,10.75
44.031000399999996,9.949999809
44.52300098,10.05000019
44.69500186,9.449999809
44.07499911,8.899999619
44.57300021,6.849999905
44.45300128,6.349999905
44.388998289999996,0.0
43.17399814,0.0
41.37299945,0.0
39.62499835,0.0
37.60800006,0.0
35.372,0.0
33.25800159,0.0
30.82399966,0.0
28.2280009,0.0
25.71800067,18.04999924
23.23900058,0.0
20.88100078,0.0
17.66900089,0.0
15.460000299999999,14.10000038
13.01200034,0.0
9.590000412,0.0
7.102000019,0.0
4.615999958,1.799999952
1.8019999480000002,1.049999952
1.5160000530000002,1.350000024
0.159,1.549999952
0.095999999,1.5
0.130000001,1.5
0.091999999,1.450000048
0.117999999,1.450000048
0.076999998,1.450000048
0.074,1.450000048
0.120000003,1.450000048
0.078,1.450000048
0.150999999,6.75
2.037999889,13.0
5.812999985,21.70000076
8.969000122,24.14999962
11.77800014,23.75
13.61600043,11.85000038
13.53800037,0.0
13.69800021,21.35000038
16.2110007,43.79999924
19.70699908,58.84999847
24.01000049,46.25
26.16099956,4.400000095
25.84000041,8.050000191
26.17799976,34.20000076
28.71500041,53.0
31.32399966,50.90000153
33.406000399999996,44.59999847
36.13699939,44.20000076
37.98300006,28.89999962
38.71900012,6.5
38.62100055,5.599999905
38.73700168,36.84999847
39.98000171,24.79999924
41.33099963,33.45000076
42.31699969,38.34999847
43.42199924,34.40000153
44.56199863,9.649999619
44.22699954,3.700000048
44.44100024,19.79999924
44.57100131,10.0
44.5500014,8.100000381
44.29699924,6.699999809
44.44899966,5.5
44.04199817,5.900000095
43.88500049,6.300000191
44.15099933,7.099999905
43.96900012,7.5
44.05700137,7.849999905
44.16300037,8.800000191
43.94000079,9.149999619
