TimeStamp,,TestSequenceNumber,TestStatus,TestStatusRun,TestStatusResult,TestTime,TestDistance,TestPhaseNo,TestPhaseTime,TestTotalPhaseTime,GPSIsUnknown,GPSAltitude,GPSLatitude,GPSLongitude,GPSSpeed,GPSCourse,GPSSatelliteId,GPSNumberOfSatellite,SystemBatteryVoltage,AmbientTemp,AmbientRelativeHumidity,AmbientPressure,ExhaustVolumeFlowRate,ExhaustVolumeFlowRate_1,ExhaustTemp_1,ExhaustPressure_1,ExhaustVolumeFlowRate_2,ExhaustTemp_2,ExhaustPressure_2,ExhaustDiffPressure_1,ExhaustDiffPressure_2,Tailpipe_Operation,Tailpipe_Sequence,Tailpipe_CO_Conc,Tailpipe_CO2_Conc,Tailpipe_H2O_Conc,Tailpipe_NO_Conc,Tailpipe_NOx_Conc,Tailpipe_NO2_Conc,OBD_Ch2,OBD_Ch3,OBD_Ch4,OBD_Ch5,OBD_Ch6,OBD_Ch7,OBD_Ch8,OBD_Ch9,OBD_Ch10,OBD_Ch11,OBD_Ch12,OBD_Ch13,OBD_Ch15,OBD_Ch14,Tailpipe_Analyzer_Temp,Tailpipe_Ambient_Temp,Tailpipe_Ambient_RelativeHumidity,Tailpipe_Ambient_AbsoluteHumidity,OBD_Ch1,OBD_Ch16,OBD_Ch17,OBD_Ch18,OBD_Ch19,OBD_Ch20,OBD_Ch21,GPSSpeed
[],[s],[],[],[],[],[],[km],[],[s],[s],[],[m],[deg],[deg],[km/h],[deg],[],[],[V],[degC],[%],[kPa],[m3/min],[m3/min],[degC],[kPa],[m3/min],[degC],[kPa],[Pa],[Pa],[],[],[vol%],[vol%],[vol%],[ppm],[ppm],[ppm],[degC],[rpm],[km/h],[degC],[g/s],[%],[kPa],[degC],[degC],[L/h],[%],[Nm],[%],[],[deg C],[deg C],[%],[%],[%],[%],[deg C],[%],[L/h],[g/s],[g/s],[km/h]
Absolute_time,Relative_time,SYS_TestSequenceNumber,SYS_TestStatus,SYS_TestRunStatus,SYS_TestResultStatus,SYS_TestTime,SYS_TestDistance,SYS_PhaseNo,SYS_PhaseTime,SYS_TotalPhaseTime,GPS_GPSStatus,GPS_Altitude,GPS_Latitude,GPS_Longitude,GPS_VehicleSpeed,GPS_Course,GPS_GPSSatelliteId,GPS_GPSNumberOfSatellite,BT_BatteryVoltage,WS_AmbientTemp,WS_AmbientRelativeHumidity,WS_AmbientPressure,PF_ExhaustFlowRate,PF_ExhaustFlowRate1,PF_ExhaustTemp1,PF_ExhaustPressure1,PF_ExhaustFlowRate2,PF_ExhaustTemp2,PF_ExhaustPressure2,PF_ExhaustDiffPressure1,PF_ExhaustDiffPressure2,GA_Operation,GA_Sequence,GA_COConc,GA_CO2Conc,GA_H2OConc,GA_NOConc,GA_NOxConc,GA_NO2Conc,OBD_EngineCoolantTemp,OBD_EngineSpeed,OBD_VehicleSpeed,OBD_IntakeAirTemp,OBD_MassAirFlowRate,OBD_CommandedEGR,OBD_BarometricPressure,OBD_AmbientAirTemp,OBD_EngineOilTemp,OBD_EngineFuelRate,OBD_ActualEnginePercentTorque,OBD_EngineReferenceTorque,OBD_NominalFrictionPercentTorque,OBD_DPF_Regeneration_Status,TailpipeAnalyzerTemp,TailpipeAmbientTemp,TailpipeAmbientRelativeHumidity,TailpipeAmbientAbsoluteHumidity,OBDCalculatedLOADValue,OBDEngineFrictionPercentTorque,OBDEngineCoolantTemp1,OBDDriversDemandEnginePercentTorque,OBDEngineFuelRate_1,OBDEngineFuelRate_2,OBDVehicleFuelRate,VehicleSpeed_Max
03/27/2025 14:10:20.8882904,0,20368,1,32,0,2036.8,0.275015444,1,0,0,2,8.300000191,24.06102767,120.3849973,0.157000005,203.1699982,0,10,24.37943649,33.03559113,53.46189499,102.8922272,2.497265816,2.497265816,92.56150055,100.9103012,0,0,0,56.89999771,0,5,600,0.004233911,1.528401563,2.28295517,169.7287292,123.2360764,-46.95172119,83,502.5,0,0,57.27999878,0,101,34,0,1.600000024,10,2402,7,0,41.90000153,35.60000229,47.70000076,2.722234488,23.52941132,7,83,0,1.600000024,0,0,0.157000005
03/27/2025 14:10:21.8722915,1,20378,1,32,0,2037.8,0.275043139,1,1,1,2,8.199999809,24.06102717,120.384997,0.129999995,203.1699982,0,10,24.3825531,33.04131317,53.39323044,102.8922272,2.506739855,2.506739855,92.56150055,100.9285965,0,0,0,57.90000153,0,5,600,0.00459157,1.576697852,2.290687084,178.1972351,129.337326,-49.34235001,83,502,0,0,57.27999878,0,101,34,0,1.600000024,10,2402,7,0,41.90000153,35.60000229,47.70000076,2.722234488,23.52941132,7,83,0,1.600000024,0,0,0.157000005
03/27/2025 14:10:22.8722915,2,20388,1,32,0,2038.8,0.275069194,1,2,2,2,8.100000381,24.06102683,120.3849972,0.088,203.1699982,0,10,24.3887825,33.06420135,53.33219528,102.9007416,2.561389685,2.561389685,92.56150055,100.8647995,0,0,0,58.29999924,0,5,600,0.004302013,1.590361523,2.291465044,173.1099243,127.0390167,-46.52581024,83,500.25,0,0,58.47000122,0,101,34,0,1.649999976,10,2402,7,0,41.90000153,35.60000229,47.70000076,2.722234488,23.52941132,7,83,0,1.649999976,0,0,0.157000005
03/27/2025 14:10:23.8722915,3,20398,1,32,0,2039.8,0.275095861,1,3,3,2,7.900000095,24.06102683,120.3849973,0.158999994,203.1699982,0,11,24.3856678,33.08136749,53.29023361,102.9049988,2.526923418,2.526923418,92.56150055,100.8872986,0,0,0,58.5,0,5,600,0.003962977,1.578711816,2.29515624,171.5049896,125.5403519,-46.41849136,83,498.5,0,0,59.91999817,0,101,34,0,1.700000048,10,2402,7,0,41.90000153,35.60000229,47.70000076,2.722234488,23.52941132,7,83,0,1.700000048,0,0,0.158999994
03/27/2025 14:10:24.8722915,4,20408,1,32,0,2040.8,0.275129333,1,4,4,2,7.900000095,24.06102617,120.3849967,0.094999999,203.1699982,0,11,24.37320709,33.05275726,53.24064255,102.8709564,2.50928545,2.50928545,92.56150055,100.9774017,0,0,0,56.40000153,0,5,600,0.004260582,1.569105762,2.299532413,172.1030731,125.7797318,-46.78073502,83,497.25,0,0,56.5,0,101,34,0,1.799999952,11,2402,7,0,41.90000153,35.60000229,47.70000076,2.722234488,24.31372452,7,83,0,1.799999952,0,0,0.158999994
03/27/2025 14:10:25.8722915,5,20418,1,32,0,2041.8,0.275149583,1,5,5,2,7.800000191,24.06102567,120.3849963,0.048,203.1699982,0,11,24.3825531,33.05847931,53.22538376,102.8752136,2.516651869,2.516651869,92.56150055,101.0227966,0,0,0,56.60000229,0,5,600,0.00497958,1.567928223,2.301608324,174.291687,127.1263504,-47.6310463,83,499.75,0,0,61.20000076,0,101,34,0,1.75,10,2402,7,0,41.90000153,35.60000229,47.70000076,2.722234488,23.52941132,7,83,0,1.75,0,0,0.158999994
03/27/2025 14:10:26.8722915,6,20428,1,32,0,2042.8,0.275173472,1,6,6,2,7.699999809,24.06102583,120.3849963,0.075000003,203.1699982,0,11,24.39812851,33.08136749,53.23301315,102.909256,3.100218773,3.100218773,92.56150055,100.9244995,0,0,0,94.70000458,0,5,600,0.005328111,1.60945498,2.307354689,181.5563812,131.4296265,-50.6217041,83,549.75,0,0,63.65000153,0,101,34,0,3.150000095,15,2402,8,0,41.90000153,35.60000229,47.70000076,2.722234488,28.62745094,8,83,52,3.150000095,0,0,0.158999994
03/27/2025 14:10:27.8722915,7,20438,1,32,0,2043.8,0.275258417,1,7,7,2,7.5,24.06102467,120.3849963,1.085999966,182.6199951,0,11,24.39501381,33.0699234,53.21393967,102.9007416,2.559886217,2.559886217,92.56150055,100.8949966,0,0,0,58.60000229,0,5,600,0.005025277,1.827579883,2.312650681,221.5202026,150.6624451,-71.55740356,83,662.75,0,0,48.27999878,0,101,34,0,8.25,26,2402,8,0,41.90000153,35.60000229,47.70000076,2.722234488,52.15686417,8,83,53,8.25,0,0,1.085999966
