TimeStamp,,TestSequenceNumber,TestStatus,TestStatusRun,TestStatusResult,TestTime,TestDistance,TestPhaseNo,TestPhaseTime,TestTotalPhaseTime,GPSIsUnknown,GPSAltitude,GPSLatitude,GPSLongitude,GPSSpeed,GPSCourse,GPSSatelliteId,GPSNumberOfSatellite,SystemBatteryVoltage,AmbientTemp,AmbientRelativeHumidity,AmbientPressure,ExhaustVolumeFlowRate,ExhaustVolumeFlowRate_1,ExhaustTemp_1,ExhaustPressure_1,ExhaustVolumeFlowRate_2,ExhaustTemp_2,ExhaustPressure_2,ExhaustDiffPressure_1,ExhaustDiffPressure_2,Tailpipe_Operation,Tailpipe_Sequence,Tailpipe_CO_Conc,Tailpipe_CO2_Conc,Tailpipe_H2O_Conc,Tailpipe_NO_Conc,Tailpipe_NOx_Conc,Tailpipe_NO2_Conc,OBD_Ch2,OBD_Ch3,OBD_Ch4,OBD_Ch5,OBD_Ch6,OBD_Ch7,OBD_Ch8,OBD_Ch9,OBD_Ch10,OBD_Ch11,OBD_Ch12,OBD_Ch13,OBD_Ch15,OBD_Ch14,Tailpipe_Analyzer_Temp,Tailpipe_Ambient_Temp,Tailpipe_Ambient_RelativeHumidity,Tailpipe_Ambient_AbsoluteHumidity,OBD_Ch1,OBD_Ch16,OBD_Ch17,OBD_Ch18,OBD_Ch19,OBD_Ch20,OBD_Ch21,GPSSpeed
[],[s],[],[],[],[],[],[km],[],[s],[s],[],[m],[deg],[deg],[km/h],[deg],[],[],[V],[degC],[%],[kPa],[m3/min],[m3/min],[degC],[kPa],[m3/min],[degC],[kPa],[Pa],[Pa],[],[],[vol%],[vol%],[vol%],[ppm],[ppm],[ppm],[degC],[rpm],[km/h],[degC],[g/s],[%],[kPa],[degC],[degC],[L/h],[%],[Nm],[%],[],[deg C],[deg C],[%],[%],[%],[%],[deg C],[%],[L/h],[g/s],[g/s],[km/h]
Absolute_time,Relative_time,SYS_TestSequenceNumber,SYS_TestStatus,SYS_TestRunStatus,SYS_TestResultStatus,SYS_TestTime,SYS_TestDistance,SYS_PhaseNo,SYS_PhaseTime,SYS_TotalPhaseTime,GPS_GPSStatus,GPS_Altitude,GPS_Latitude,GPS_Longitude,GPS_VehicleSpeed,GPS_Course,GPS_GPSSatelliteId,GPS_GPSNumberOfSatellite,BT_BatteryVoltage,WS_AmbientTemp,WS_AmbientRelativeHumidity,WS_AmbientPressure,PF_ExhaustFlowRate,PF_ExhaustFlowRate1,PF_ExhaustTemp1,PF_ExhaustPressure1,PF_ExhaustFlowRate2,PF_ExhaustTemp2,PF_ExhaustPressure2,PF_ExhaustDiffPressure1,PF_ExhaustDiffPressure2,GA_Operation,GA_Sequence,GA_COConc,GA_CO2Conc,GA_H2OConc,GA_NOConc,GA_NOxConc,GA_NO2Conc,OBD_EngineCoolantTemp,OBD_EngineSpeed,OBD_VehicleSpeed,OBD_IntakeAirTemp,OBD_MassAirFlowRate,OBD_CommandedEGR,OBD_BarometricPressure,OBD_AmbientAirTemp,OBD_EngineOilTemp,OBD_EngineFuelRate,OBD_ActualEnginePercentTorque,OBD_EngineReferenceTorque,OBD_NominalFrictionPercentTorque,OBD_DPF_Regeneration_Status,TailpipeAnalyzerTemp,TailpipeAmbientTemp,TailpipeAmbientRelativeHumidity,TailpipeAmbientAbsoluteHumidity,OBDCalculatedLOADValue,OBDEngineFrictionPercentTorque,OBDEngineCoolantTemp1,OBDDriversDemandEnginePercentTorque,OBDEngineFuelRate_1,OBDEngineFuelRate_2,OBDVehicleFuelRate,VehicleSpeed_Max
03/27/2025 11:31:00.7074813,0,11650,1,32,0,1165,1.960053501,1,0,0,2,3.799999952,23.30158117,120.1474825,53.07500076,23.97999954,0,9,24.35139847,36.69776154,46.2748909,103.1943665,6.705000877,6.705000877,134.8453064,101.3321991,0,0,0,468.6999817,0,5,600,0.002617501,9.687121875,4.945224762,2.255782127,1.923363447,-0.335700959,86,1211.25,56,0,137.8000031,0,101,36,0,26.54999924,45,2402,10,0,43.79999924,36.70000076,47,2.85309267,79.60784149,10,86,45,26.54999924,0,0,53.07500076
03/27/2025 11:31:01.6974792,1,11660,1,32,0,1166,1.974885001,1,1,1,2,3.900000095,23.30171583,120.1475478,53.6969986,23.45999908,0,9,24.35451508,36.6805954,46.34355545,103.1986237,6.767079353,6.767079353,136.1755066,101.5130997,0,0,0,481.5999756,0,5,600,0.002462755,9.65401875,4.966050148,2.152273893,1.829384804,-0.326077282,86,1230.75,57,0,145.8500061,0,101,36,0,26.79999924,45,2402,10,0,43.79999924,36.70000076,47,2.85309267,79.60784149,10,86,45,26.79999924,0,0,53.6969986
03/27/2025 11:31:02.6974792,2,11670,1,32,0,1167,1.989859417,1,2,2,2,4.099999905,23.3018275,120.1476013,54.46099854,23.03000069,0,9,24.34516907,36.64626312,46.37788773,103.1816101,6.774461746,6.774461746,137.6324005,101.8349991,0,0,0,489.3000183,0,5,600,0.002041256,9.884394531,4.985180855,2.478167534,1.720732331,-0.764914095,86,1247.25,58,0,132.3399963,0,101,36,0,29.54999924,48,2402,10,0,43.79999924,36.70000076,47,2.85309267,83.52941132,10,86,48,29.54999924,0,0,54.46099854
03/27/2025 11:31:03.7024841,3,11680,1,32,0,1168,2.005016501,1,3,3,2,4.199999809,23.30195333,120.1476613,55.02500153,23.75,0,9,24.36386108,36.61765289,46.42366409,103.1816101,7.992734909,7.992734909,138.7723999,101.8963013,0,0,0,664.3000488,0,5,600,0.002849642,10.43195391,5.027128696,2.838271618,1.973710179,-0.873098075,86,1265.75,58,0,180.3200073,0,101,36,0,35.95000076,55,2402,10,0,43.79999924,36.70000076,47,2.85309267,88.62744904,10,86,55,35.95000076,0,0,55.02500153
03/27/2025 11:31:04.6974792,4,11690,1,32,0,1169,2.020415362,1,4,4,2,4.300000191,23.302094,120.1477282,55.79299927,23.71999931,0,9,24.36074448,36.58904266,46.48851395,103.1688385,9.687498093,9.687498093,140.8623047,101.9940033,0,0,0,968,0,5,600,0.003396401,10.61939219,5.069057941,7.148533821,4.785664558,-2.38620019,86,1282.5,60,0,204.8500061,0,101,36,0,43.29999924,63,2402,10,0,43.79999924,36.70000076,47,2.85309267,79.60784149,10,86,63,43.29999924,0,0,55.79299927
03/27/2025 11:31:05.6974792,5,11700,1,32,0,1170,2.036108584,1,4.9,4.9,2,4.400000095,23.30221117,120.1477835,57.06800079,23.29000092,0,9,24.36697578,36.59476471,46.57243729,103.1816101,9.017028809,9.017028809,143.078598,101.9335022,0,0,0,854.2000122,0,5,600,0.002936109,10.70541016,5.092496872,9.116085052,6.223896503,-2.92074585,86,1311.5,61,0,186.5899963,0,101,35,0,42.40000153,61,2402,10,0,43.79999924,36.70000076,47,2.85309267,81.5686264,10,86,61,42.40000153,0,0,57.06800079
03/27/2025 11:31:06.6974792,6,11710,1,33,0,1171,2.052080973,1,4.9,4.9,2,4.400000095,23.3023445,120.1478442,57.76399994,22.23999977,0,9,24.36697578,36.55471039,46.64491653,103.1688385,8.862381935,8.862381935,144.7248993,101.6555023,0,0,0,817.5,0,5,600,0.002950147,11.01954297,5.122059345,4.836836338,4.618251801,-0.220742837,86,1337.25,62,0,188.75,0,101,35,0,42.79999924,60,2402,10,0,43.79999924,36.70000076,47,2.85309267,88.62744904,10,86,60,42.79999924,0,0,57.76399994
03/27/2025 11:31:07.6974792,7,11720,1,33,0,1172,2.068342279,1,4.9,4.9,2,4.599999905,23.302495,120.1479087,58.91600037,20.52000046,0,9,24.35451508,36.51465607,46.73265457,103.151825,9.92859745,9.92859745,146.3710022,101.9782028,0,0,0,1023.300049,0,5,600,0.003478917,11.24303125,5.15846777,4.352367878,3.907512665,-0.449247688,86,1366.5,63,0,165.8500061,0,101,35,0,45.20000076,62,2402,10,0,43.79999924,36.70000076,47,2.85309267,88.62744904,10,86,63,45.20000076,0,0,58.91600037
