廠商名稱,污染審驗編號,國產/進口,引擎族,引擎型式,車型名稱,總重,my_數量_1_11,my_車型名稱,車種底盤別,進口國產別,核章_12月,my_數量_1_12,my_車型名稱_full
航偉汽車股份有限公司,C1D691001H-1,進口,LDC10.8FZAA,DDi11E465-60,DONGFENG DFH4180D80  10800c.c. M14 2D  曳引車,18000.0,0.0,DONGFENG DFH4180D80 10800c.c. M14 2D,曳引車,,0.0,0.0,DONGFENG DFH4180D80 10800c.c. M14 2D 曳引車
航偉汽車股份有限公司,C3D691001R-1,進口,NCE13.5EZAB,Z14EVIE480,DONGFENG DFH4180D81  13480c.c. A12 2D  曳引車,18000.0,0.0,DONGFENG DFH4180D81 13480c.c. A12 2D,曳引車,,0.0,0.0,DONGFENG DFH4180D81 13480c.c. A12 2D 曳引車
台北合眾汽車有限公司,C3D647002H-1,進口,JSZ05.2FZA4-C3,4HK1E6H-C,ISUZU FVR90LA6  5193c.c. A6 2D  大貨車底盤,15000.0,3.0,ISUZU FVR90LA6 5193c.c. A6 2D,大貨車底盤,進口,5.0,8.0,ISUZU FVR90LA6 5193c.c. A6 2D 大貨車底盤
台北合眾汽車有限公司,C3D647001H-1,進口,JSZ03.0FZA6-C3,4JJ1E6N-C,ISUZU NLR85FAJ6  2999c.c. A5 2D  貨車底盤,5000.0,0.0,ISUZU NLR85FAJ6 2999c.c. A5 2D,貨車底盤,進口,82.0,82.0,ISUZU NLR85FAJ6 2999c.c. A5 2D 貨車底盤
台北合眾汽車有限公司,C3D647001H-1,進口,JSZ03.0FZA6-C3,4JJ1E6N-C,ISUZU NLR85FMJ6  2999c.c. M5 2D  貨車底盤,5000.0,23.0,ISUZU NLR85FMJ6 2999c.c. M5 2D,貨車底盤,進口,98.0,121.0,ISUZU NLR85FMJ6 2999c.c. M5 2D 貨車底盤
台北合眾汽車有限公司,C3D647001H-1,進口,JSZ03.0FZA6-C3,4JJ1E6N-C,ISUZU NLR85HAJ6  2999c.c. A5 2D  貨車底盤,5000.0,3.0,ISUZU NLR85HAJ6 2999c.c. A5 2D,貨車底盤,進口,138.0,141.0,ISUZU NLR85HAJ6 2999c.c. A5 2D 貨車底盤
台北合眾汽車有限公司,C3D647001H-1,進口,JSZ03.0FZA6-C3,4JJ1E6N-C,ISUZU NLR85HMJ6  2999c.c. M5 2D  貨車底盤,5000.0,5.0,ISUZU NLR85HMJ6 2999c.c. M5 2D,貨車底盤,進口,29.0,34.0,ISUZU NLR85HMJ6 2999c.c. M5 2D 貨車底盤
台北合眾汽車有限公司,C3D647001H-1,進口,JSZ03.0FZA6-C3,4JJ1E6N-C,ISUZU NMR85FAJ6  2999c.c. A6 2D  大貨車底盤,6500.0,0.0,ISUZU NMR85FAJ6 2999c.c. A6 2D,大貨車底盤,進口,1.0,1.0,ISUZU NMR85FAJ6 2999c.c. A6 2D 大貨車底盤
台北合眾汽車有限公司,C3D647001H-1,進口,JSZ03.0FZA6-C3,4JJ1E6N-C,ISUZU NMR85FMJ6  2999c.c. M5 2D  大貨車底盤,6500.0,3.0,ISUZU NMR85FMJ6 2999c.c. M5 2D,大貨車底盤,進口,1.0,4.0,ISUZU NMR85FMJ6 2999c.c. M5 2D 大貨車底盤
台北合眾汽車有限公司,C3D647001H-1,進口,JSZ03.0FZA6-C3,4JJ1E6N-C,ISUZU NMR85HAJ6  2999c.c. A6 2D  大貨車底盤,6500.0,4.0,ISUZU NMR85HAJ6 2999c.c. A6 2D,大貨車底盤,進口,4.0,8.0,ISUZU NMR85HAJ6 2999c.c. A6 2D 大貨車底盤
台北合眾汽車有限公司,C3D647001H-1,進口,JSZ03.0FZA6-C3,4JJ1E6N-C,ISUZU NMR85HMJ6  2999c.c. M5 2D  大貨車底盤,6500.0,1.0,ISUZU NMR85HMJ6 2999c.c. M5 2D,大貨車底盤,進口,17.0,18.0,ISUZU NMR85HMJ6 2999c.c. M5 2D 大貨車底盤
台北合眾汽車有限公司,C3D647002H-1,進口,JSZ05.2FZA4-C3,4HK1E6C-C,ISUZU NPR75FAJ6  5193c.c. A6 2D  大貨車底盤,7500.0,0.0,ISUZU NPR75FAJ6 5193c.c. A6 2D,大貨車底盤,進口,2.0,2.0,ISUZU NPR75FAJ6 5193c.c. A6 2D 大貨車底盤
台北合眾汽車有限公司,C3D647002H-1,進口,JSZ05.2FZA4-C3,4HK1E6C-C,ISUZU NPR75FMJ6  5193c.c. M6 2D  大貨車底盤,7500.0,4.0,ISUZU NPR75FMJ6 5193c.c. M6 2D,大貨車底盤,進口,3.0,7.0,ISUZU NPR75FMJ6 5193c.c. M6 2D 大貨車底盤
台北合眾汽車有限公司,C3D647002H-1,進口,JSZ05.2FZA4-C3,4HK1E6C-C,ISUZU NPR75HAJ6  5193c.c. A6 2D  大貨車底盤,7500.0,2.0,ISUZU NPR75HAJ6 5193c.c. A6 2D,大貨車底盤,進口,1.0,3.0,ISUZU NPR75HAJ6 5193c.c. A6 2D 大貨車底盤
台北合眾汽車有限公司,C3D647002H-1,進口,JSZ05.2FZA4-C3,4HK1E6C-C,ISUZU NPR75HMJ6  5193c.c. M6 2D  大貨車底盤,7500.0,0.0,ISUZU NPR75HMJ6 5193c.c. M6 2D,大貨車底盤,進口,1.0,1.0,ISUZU NPR75HMJ6 5193c.c. M6 2D 大貨車底盤
台北合眾汽車有限公司,C3D647002H-1,進口,JSZ05.2FZA4-C3,4HK1E6C-C,ISUZU NPR75KAJ6  5193c.c. A6 2D  大貨車底盤,7500.0,11.0,ISUZU NPR75KAJ6 5193c.c. A6 2D,大貨車底盤,進口,6.0,17.0,ISUZU NPR75KAJ6 5193c.c. A6 2D 大貨車底盤
台北合眾汽車有限公司,C3D647002H-1,進口,JSZ05.2FZA4-C3,4HK1E6C-C,ISUZU NPR75KAL6  5193c.c. A6 4D  大貨車底盤,7500.0,0.0,ISUZU NPR75KAL6 5193c.c. A6 4D,大貨車底盤,進口,1.0,1.0,ISUZU NPR75KAL6 5193c.c. A6 4D 大貨車底盤
台北合眾汽車有限公司,C3D647002H-1,進口,JSZ05.2FZA4-C3,4HK1E6C-C,ISUZU NPR75KMJ6  5193c.c. M6 2D  大貨車底盤,7500.0,7.0,ISUZU NPR75KMJ6 5193c.c. M6 2D,大貨車底盤,進口,6.0,13.0,ISUZU NPR75KMJ6 5193c.c. M6 2D 大貨車底盤
台北合眾汽車有限公司,C3D647002H-1,進口,JSZ05.2FZA4-C3,4HK1E6C-C,ISUZU NPR75KML6  5193c.c. M6 4D  大貨車底盤,7500.0,0.0,ISUZU NPR75KML6 5193c.c. M6 4D,大貨車底盤,進口,1.0,1.0,ISUZU NPR75KML6 5193c.c. M6 4D 大貨車底盤
台北合眾汽車有限公司,C3D647001H-1,進口,JSZ03.0FZA6-C3,4JJ1E6N-C,ISUZU NPR85FAJ6  2999c.c. A6 2D  大貨車底盤,7500.0,0.0,ISUZU NPR85FAJ6 2999c.c. A6 2D,大貨車底盤,,0.0,0.0,ISUZU NPR85FAJ6 2999c.c. A6 2D 大貨車底盤
台北合眾汽車有限公司,C3D647001H-1,進口,JSZ03.0FZA6-C3,4JJ1E6N-C,ISUZU NPR85FMJ6  2999c.c. M6 2D  大貨車底盤,7500.0,0.0,ISUZU NPR85FMJ6 2999c.c. M6 2D,大貨車底盤,進口,7.0,7.0,ISUZU NPR85FMJ6 2999c.c. M6 2D 大貨車底盤
台北合眾汽車有限公司,C3D647001H-1,進口,JSZ03.0FZA6-C3,4JJ1E6N-C,ISUZU NPR85HAJ6  2999c.c. A6 2D  大貨車底盤,7500.0,0.0,ISUZU NPR85HAJ6 2999c.c. A6 2D,大貨車底盤,,0.0,0.0,ISUZU NPR85HAJ6 2999c.c. A6 2D 大貨車底盤
