time[s],VehicleWeight[ton],VehicleSpeed[km/h],EngineSpeed[rpm],grad[%]
1,22.5,0.02,500.25,0
2,22.5,0.134000003,502,0
3,22.5,0.601999998,644.75,0
4,22.5,3.288000107,779.5,0
5,22.5,5.706999779,1388.25,0
6,22.5,5.875,1335,-12.43313331
7,22.5,5.899000168,1139.5,6.115192167
8,22.5,9.805999756,1573.5,0
9,22.5,10.68000031,1600.25,-7.029217355
10,22.5,10.14500046,952.75,0
11,22.5,11.41499996,1048.75,0
12,22.5,13.61400032,1203.25,0
13,22.5,14.39799976,1306,0
14,22.5,15.47099972,1352.75,-4.821047407
15,22.5,15.7840004,1359,6.910898607
16,22.5,16.41300011,1429.75,13.41738613
17,22.5,17.30400085,1516,-4.270838401
18,22.5,18.34900093,1581.25,-8.077853513
19,22.5,19.03899956,1615.75,1.925740538
20,22.5,18.96299934,1542.5,1.894644417
21,22.5,18.66600037,1146.25,-1.913425167
22,22.5,18.93799973,1132,-3.829376186
23,22.5,18.85199928,1125.75,-7.621056714
24,22.5,18.62599945,1075.5,1.921116137
25,22.5,17.00799942,1036.5,-6.06162095
26,22.5,15.54599953,918.75,8.846841507
27,22.5,14.26599979,1179,-14.49081863
28,22.5,12.92800045,1097.5,-5.295280621
29,22.5,10.88899994,961.25,-12.09220572
30,22.5,10.79800034,878,3.319958037
31,22.5,8.654000282,825.75,0
32,22.5,8.996999741,905,-8.158170205
33,22.5,11.33500004,1039.25,0
34,22.5,12.60400009,1161.5,-12.03058051
35,22.5,14.5539999,1274.5,5.302312614
36,22.5,15.63199997,1347.5,9.54083768
37,22.5,16.20700073,1319,6.784136838
38,22.5,16.1970005,957,8.887782828
39,22.5,15.72700024,924.75,4.510730024
40,22.5,14.83600044,879.75,7.067350933
41,22.5,13.42599964,843.25,7.642776031
42,22.5,13.27200031,801.5,5.393657333
43,22.5,12.94200039,802,5.493268665
44,22.5,13.31799984,802.75,2.741796936
45,22.5,13.48099995,823.5,-5.373329736
46,22.5,14.21899986,869.5,-5.198551028
47,22.5,14.65200043,930.75,0
48,22.5,15.94900036,1009,2.352850766
49,22.5,17.33600044,1071.5,4.326289475
50,22.5,17.62999916,1121.25,-2.059151037
51,22.5,18.63699913,1161.75,0
52,22.5,18.57999992,1197.5,-1.9346072
53,22.5,20.24900055,1225.5,5.562855963
54,22.5,20.34799957,1254,5.320593563
55,22.5,21.55200005,942.75,8.591885519
56,22.5,21.3579998,858.5,-1.677936934
57,22.5,21.56100082,890.5,3.355170091
58,22.5,22.84300041,928.5,1.621466255
59,22.5,23.11599922,955.75,4.699844177
60,22.5,24.12400055,990.75,0
61,22.5,24.96899986,1019.75,0
62,22.5,25.23999977,1048.25,1.434011315
63,22.5,26.11499977,1072.25,0
64,22.5,26.24099922,1086.5,2.75039854
65,22.5,26.42700005,1083.75,6.835270088
66,22.5,26.04000092,1082.25,9.606035296
67,22.5,25.97699928,1070.25,2.768323099
68,22.5,26.20199966,1056.25,-1.379857626
69,22.5,25.97599983,1073,-1.379897166
70,22.5,25.72100067,1081,-1.392735998
71,22.5,26.52199936,1095.75,-1.37816721
72,22.5,27.28000069,1115.5,1.338232585
73,22.5,27.53000069,1137.25,0
74,22.5,28.49200058,1160.25,-1.285202027
75,22.5,28.72800064,1182.5,2.516600142
76,22.5,28.81200027,1181.5,0
77,22.5,28.86000061,980.75,0
78,22.5,28.31399918,966,-1.259318464
79,22.5,28.6989994,969,1.262874702
80,22.5,28.73200035,967.5,-3.761037379
81,22.5,28.44000053,955.25,-1.25935053
82,22.5,28.27300072,957.25,-2.539109975
83,22.5,28.82999992,956,0
84,22.5,28.35899925,949.25,-2.517964386
85,22.5,28.0529995,939.5,-2.552646004
86,22.5,27.6439991,923.75,1.292713708
87,22.5,26.42099953,905.5,-1.331735419
88,22.5,26.34399986,877.25,-2.729079217
89,22.5,25.68600082,870.75,0
90,22.5,25.0340004,845.5,0
91,22.5,25.20899963,793.75,-1.433040892
92,22.5,24.15399933,1021.75,5.834337793
93,22.5,23.71299934,946.25,4.512492089
94,22.5,23.04800034,919.25,1.539750521
95,22.5,20.53499985,779,3.304037413
96,22.5,17.11899948,1004.5,0
97,22.5,13.68400002,799.25,2.337443586
98,22.5,9.352000237,715.5,-3.125554471
99,22.5,8.423000336,699.75,-8.101257865
100,22.5,7.947999954,890.25,-4.398037525
101,22.5,8.095000267,1126.25,-8.975868679
102,22.5,9.059000015,1218.5,4.197287654
103,22.5,9.338000298,860.5,0
104,22.5,9.798000336,893.25,-7.525076214
105,22.5,11.13000011,973,0
106,22.5,11.34300041,958.75,-3.203856714
107,22.5,11.77900028,983,-3.113929221
108,22.5,12.97099972,1077,0
109,22.5,14.17599964,1177,-5.304448617
110,22.5,15.44699955,1257.25,2.430553137
111,22.5,16.4090004,1314,-2.260179361
112,22.5,16.94099998,1383.75,-8.635673857
113,22.5,18.41600037,1443.25,-4.072739819
114,22.5,17.90399933,1134.5,-5.94714038
115,22.5,18.11199951,1079.25,0
116,22.5,19.35499954,1160,3.843378623
117,22.5,20.74500084,1254.5,7.182037997
118,22.5,22.0170002,1345,8.418689286
119,22.5,23.2670002,1419.5,-1.589956474
120,22.5,24.13500023,1460.75,-3.037843591
121,22.5,24.14299965,997.25,0
122,22.5,24.42499924,1018,1.482449169
123,22.5,26.70599937,1098.5,0
124,22.5,28.03199959,1164.25,2.630711132
125,22.5,29.90500069,1231.75,1.242733888
126,22.5,31.46199989,1283.75,1.173273468
127,22.5,32.26900101,1315.75,3.389236788
128,22.5,32.06700134,1087.75,0
129,22.5,32.49399948,1086,3.345675161
130,22.5,33.29199982,1121.5,2.188913519
131,22.5,34.1609993,1159.25,0
132,22.5,35.15299988,1193,1.03875515
133,22.5,35.92699814,1222.75,2.025884457
134,22.5,36.86600113,1243,0.989109864
135,22.5,37.63299942,1270,1.932910001
136,22.5,38.31900024,1287.25,0
137,22.5,38.48199844,1077.75,0.937491372
138,22.5,38.47200012,1069.25,0
139,22.5,38.93899918,1093.75,1.860198996
140,22.5,39.59000015,1106.25,1.833715754
141,22.5,40.29000092,1118,1.802702319
142,22.5,40.4469986,1131.25,0
143,22.5,40.4469986,1075.5,2.670162735
144,22.5,40.36700058,926.5,1.781867803
145,22.5,40.71500015,926.5,0.887993302
146,22.5,40.67699814,931.75,0.8846028
147,22.5,41.02600098,937.75,0
148,22.5,41.32099915,944,0.874352113
149,22.5,41.29299927,943.5,0
150,22.5,41.17300034,943.5,0.873090412
151,22.5,41.27000046,945,0.873325678
152,22.5,41.24499893,941.5,0.872571946
153,22.5,41.12099838,935.75,0.874142145
154,22.5,40.67599869,924.5,1.760462515
155,22.5,40.39199829,918,0
156,22.5,39.84500122,910.25,-0.897345041
157,22.5,39.24100113,899,0.910404768
158,22.5,39.0929985,887.75,-0.919144611
159,22.5,38.57300186,874.75,0
160,22.5,37.03499985,837.75,0.952283779
161,22.5,35.6570015,1181.25,0.990474719
162,22.5,33.83399963,1125,2.072208788
163,22.5,32.01100159,1068.75,1.09348124
164,22.5,30.27400017,1008.5,1.155980919
165,22.5,29.14900017,964,2.423301792
166,22.5,27.40399933,909.25,-1.273146858
167,22.5,25.6760006,860,0
168,22.5,24.21299934,1115.25,0
169,22.5,22.0720005,1085,-3.111156178
170,22.5,20.34900093,989.75,1.69727897
171,22.5,18.40800095,901.75,-3.715471791
172,22.5,16.72599983,1137.75,-2.049285251
173,22.5,14.59700012,991.75,-2.298639138
174,22.5,11.59599972,831.75,-2.748810371
175,22.5,10.32600021,840,-3.284384355
176,22.5,7.789000034,671,0
177,22.5,5.599999905,449.5,0
178,22.5,4.527999878,510,7.10896437
179,22.5,2.563999891,498.75,0
180,22.5,0.859000027,501.5,0
181,22.5,0.136999995,500,0
182,22.5,0.064000003,501,0
183,22.5,0.090999998,500.5,0
184,22.5,0.039000001,499.25,0
185,22.5,0.089000002,498.5,0
186,22.5,0.162,499.5,0
187,22.5,0.115999997,500,0
188,22.5,0.071999997,499.25,0
189,22.5,0.172000006,499.75,0
190,22.5,0.028999999,499.75,0
