數據數量,平均燃油流量[L/h],車速[km/h]
194.0,1.799999952,0.0
22.0,9.59318175659091,5.0
43.0,11.482558059162791,10.0
59.0,12.977118722305086,15.0
30.0,17.278333294533333,20.0
42.0,17.565476139619047,25.0
34.0,21.45441179435294,30.0
27.0,26.033333142925926,35.0
53.0,19.527358270962264,40.0
277.0,9.111371839173284,45.0
11.0,55.03181873818182,50.0
5.0,47.209999274,55.0
12.0,27.775000095,60.0
607.0,17.460873150866558,65.0
31.0,23.183871146129032,70.0
177.0,28.35225982358192,75.0
3868.0,23.519493269185368,80.0
