數據數量,平均燃油流量[L/h],車速[km/h]
184.0,1.75,0.0
20.0,9.3224999905,5.0
36.0,10.974999904944445,10.0
69.0,11.06086958068116,15.0
39.0,11.630769338230769,20.0
57.0,13.060526205824562,25.0
39.0,14.10769237623077,30.0
51.0,13.99019608772549,35.0
95.0,11.199999980842104,40.0
251.0,8.429880479641435,45.0
16.0,29.928124575875,50.0
8.0,31.07500004875,55.0
7.0,30.549999782857146,60.0
562.0,14.109964422103202,65.0
23.0,30.704347775652174,70.0
418.0,21.85550240026794,75.0
3681.0,19.8445938655762,80.0
